date,pm25,pm10,no2,o3,co,aqi,dominant_pollutant,aqi_category,aqi_color
2022-06-09,33.19,65.08,10.97,45.4,0.51,66.0,pm10,Satisfactory,#ffff00
2022-06-10,6.47,25.95,8.85,30.4,0.29,30.0,o3,Good,#00e400
2022-06-11,87.59,161.31,18.53,42.93,0.64,192.0,pm25,Moderate,#ff7e00
2022-06-12,116.23,228.35,20.67,36.94,0.9,288.0,pm25,Poor,#ff0000
2022-07-01,166.24,261.09,31.47,38.3,1.13,336.0,pm25,Very Poor,#8f3f97
2022-07-02,71.48,136.53,15.31,45.97,0.72,139.0,pm25,Moderate,#ff7e00
2022-07-03,95.7,218.46,26.4,46.43,0.67,220.0,pm25,Poor,#ff0000
2022-07-04,46.64,125.35,12.21,58.88,0.38,118.0,pm10,Moderate,#ff7e00
2022-07-05,46.88,109.41,13.65,51.27,0.51,107.0,pm10,Moderate,#ff7e00
2022-07-06,41.97,106.78,10.95,69.64,0.38,105.0,pm10,Moderate,#ff7e00
2022-07-07,16.8,51.19,9.13,42.46,0.26,52.0,pm10,Satisfactory,#ffff00
2022-07-08,17.4,34.73,9.21,37.07,0.26,37.0,o3,Good,#00e400
2022-07-09,30.41,64.88,9.1,45.52,0.44,66.0,pm10,Satisfactory,#ffff00
2022-07-10,13.37,39.82,9.7,29.83,0.37,40.0,pm10,Good,#00e400
2022-07-11,98.81,195.18,19.75,48.71,0.92,230.0,pm25,Poor,#ff0000
2022-07-12,134.63,252.94,20.71,43.78,0.94,312.0,pm25,Very Poor,#8f3f97
2022-08-01,133.63,226.12,28.06,40.62,1.23,311.0,pm25,Very Poor,#8f3f97
2022-08-02,104.97,217.59,23.14,39.82,0.97,250.0,pm25,Poor,#ff0000
2022-08-03,107.84,219.1,27.0,37.18,0.77,260.0,pm25,Poor,#ff0000
2022-08-04,37.2,108.15,12.2,63.46,0.4,106.0,pm10,Moderate,#ff7e00
2022-08-05,43.97,115.84,11.02,37.99,0.5,111.0,pm10,Moderate,#ff7e00
2022-08-06,49.93,102.18,10.04,66.23,0.38,102.0,pm10,Moderate,#ff7e00
2022-08-07,17.17,45.13,9.19,41.35,0.27,45.0,pm10,Good,#00e400
2022-08-08,9.19,26.77,9.35,78.5,0.31,79.0,o3,Satisfactory,#ffff00
2022-08-09,10.05,31.16,8.37,45.5,0.4,46.0,o3,Good,#00e400
2022-08-10,16.81,50.37,11.12,31.79,0.32,51.0,pm10,Satisfactory,#ffff00
2022-08-11,95.68,166.3,18.04,45.88,0.65,220.0,pm25,Poor,#ff0000
2022-08-12,131.14,249.16,20.11,42.35,0.97,309.0,pm25,Very Poor,#8f3f97
2022-09-01,142.7,246.79,31.19,36.94,1.18,318.0,pm25,Very Poor,#8f3f97
2022-09-02,136.92,248.46,22.15,30.87,1.05,314.0,pm25,Very Poor,#8f3f97
2022-09-03,118.24,250.42,27.57,36.61,0.87,294.0,pm25,Poor,#ff0000
2022-09-04,23.99,71.43,11.54,53.07,0.37,72.0,pm10,Satisfactory,#ffff00
2022-09-05,13.83,51.98,9.57,28.52,0.43,53.0,pm10,Satisfactory,#ffff00
2022-09-06,37.16,109.41,10.98,64.47,0.36,107.0,pm10,Moderate,#ff7e00
2022-09-07,17.39,44.68,10.18,42.83,0.27,45.0,pm10,Good,#00e400
2022-09-08,9.16,37.1,7.82,37.11,0.23,37.0,pm10,Good,#00e400
2022-09-09,20.62,49.01,10.15,48.3,0.44,49.0,pm10,Good,#00e400
2022-09-10,10.17,31.6,9.91,31.42,0.26,32.0,pm10,Good,#00e400
2022-09-11,97.11,175.68,17.82,45.27,0.86,224.0,pm25,Poor,#ff0000
2022-09-12,139.42,269.62,19.22,38.76,0.95,316.0,pm25,Very Poor,#8f3f97
2022-10-01,162.2,265.33,30.68,33.88,1.28,333.0,pm25,Very Poor,#8f3f97
2022-10-02,58.97,220.32,21.08,16.96,1.14,180.0,pm10,Moderate,#ff7e00
2022-10-03,128.52,265.45,32.26,32.9,1.01,307.0,pm25,Very Poor,#8f3f97
2022-10-04,28.37,71.17,11.39,54.94,0.37,72.0,pm10,Satisfactory,#ffff00
2022-10-05,23.49,58.97,10.13,29.1,0.48,60.0,pm10,Satisfactory,#ffff00
2022-10-06,34.45,93.36,11.68,68.96,0.38,93.0,pm10,Satisfactory,#ffff00
2022-10-07,14.78,36.7,9.6,45.27,0.28,45.0,o3,Good,#00e400
2022-10-08,10.76,37.06,9.47,37.24,0.32,37.0,pm10,Good,#00e400
2022-10-09,7.97,28.86,11.35,42.6,0.3,43.0,o3,Good,#00e400
2022-10-10,8.3,34.07,9.24,29.94,0.26,34.0,pm10,Good,#00e400
2022-10-11,75.03,128.29,16.84,41.97,0.61,151.0,pm25,Moderate,#ff7e00
2022-10-12,135.72,256.13,19.76,38.6,1.01,313.0,pm25,Very Poor,#8f3f97
2022-11-01,167.31,275.25,28.9,41.93,1.03,337.0,pm25,Very Poor,#8f3f97
2022-11-02,64.41,241.08,17.41,29.98,0.97,194.0,pm10,Moderate,#ff7e00
2022-11-03,138.18,277.25,29.62,28.91,0.89,315.0,pm25,Very Poor,#8f3f97
2022-11-04,30.32,85.24,11.43,58.85,0.36,86.0,pm10,Satisfactory,#ffff00
2022-11-05,33.23,80.7,11.24,34.96,0.54,81.0,pm10,Satisfactory,#ffff00
2022-11-06,35.77,94.67,11.73,70.73,0.38,95.0,pm10,Satisfactory,#ffff00
2022-11-07,,,,,,,,Unknown,#cccccc
2022-11-08,12.45,43.88,10.51,35.27,0.36,44.0,pm10,Good,#00e400
2022-11-09,5.76,18.77,9.34,43.96,0.28,44.0,o3,Good,#00e400
2022-11-10,,,,,,,,Unknown,#cccccc
2022-11-11,98.98,179.11,20.28,48.32,0.72,231.0,pm25,Poor,#ff0000
2022-11-12,149.09,287.43,21.67,40.59,1.12,323.0,pm25,Very Poor,#8f3f97
2022-12-01,92.66,162.49,26.25,20.07,1.0,210.0,pm25,Poor,#ff0000
2022-12-02,83.56,166.92,23.81,34.68,0.78,179.0,pm25,Moderate,#ff7e00
2022-12-03,109.77,230.66,29.28,28.2,0.89,266.0,pm25,Poor,#ff0000
2022-12-04,29.12,77.95,10.52,55.33,0.38,78.0,pm10,Satisfactory,#ffff00
2022-12-05,38.96,98.85,10.91,36.15,0.42,99.0,pm10,Satisfactory,#ffff00
2022-12-06,34.88,91.76,10.21,70.45,0.35,92.0,pm10,Satisfactory,#ffff00
2022-12-07,15.33,40.73,9.66,47.67,0.28,48.0,o3,Good,#00e400
2022-12-08,28.34,75.01,13.11,36.14,0.51,76.0,pm10,Satisfactory,#ffff00
2022-12-09,6.57,17.38,9.46,43.29,0.31,43.0,o3,Good,#00e400
2022-12-10,11.41,42.86,14.7,27.68,0.61,43.0,pm10,Good,#00e400
2022-12-11,127.07,228.74,22.25,40.23,0.9,306.0,pm25,Very Poor,#8f3f97
2022-12-12,165.5,331.52,20.78,42.04,1.44,336.0,pm25,Very Poor,#8f3f97
2023-01-01,145.7682986111111,231.15875000000003,2.4002777777777777,28.91881944444445,0.923923611111111,321.0,pm25,Very Poor,#8f3f97
2023-01-02,64.6803125,127.27572916666666,26.46461805555556,64.21086805555555,0.6713541666666667,119.0,pm10,Moderate,#ff7e00
2023-01-03,55.08212121212121,123.3015909090909,22.213784722222226,28.21985507246377,0.1826041666666666,116.0,pm10,Moderate,#ff7e00
2023-01-04,18.600729166666667,43.53208333333333,15.897986111111113,36.16697916666667,0.5116319444444445,44.0,pm10,Good,#00e400
2023-01-05,27.410520833333333,39.62569444444444,10.131076388888888,28.763229166666665,0.5264583333333334,46.0,pm25,Good,#00e400
2023-01-06,38.49229166666667,81.29833333333333,13.697048611111112,80.03548611111111,0.5713541666666667,82.0,pm10,Satisfactory,#ffff00
2023-01-07,17.684479166666666,37.41111111111111,11.587604166666669,58.91829861111111,0.4689930555555555,60.0,o3,Satisfactory,#ffff00
2023-01-08,10.9353125,26.78770833333333,10.514548611111111,62.3159375,0.4336805555555555,63.0,o3,Satisfactory,#ffff00
2023-01-09,55.3055303030303,117.45314393939394,11.462763157894736,26.70217391304348,0.5556884057971014,113.0,pm10,Moderate,#ff7e00
2023-01-10,9.906944444444443,26.05305555555556,8.914722222222222,14.672314814814817,0.4181481481481481,26.0,pm10,Good,#00e400
2023-01-11,38.1390625,72.7959375,38.05854166666666,28.538125,0.6523263888888889,73.0,pm10,Satisfactory,#ffff00
2023-01-12,35.01996527777778,104.7840972222222,19.735868055555557,43.28767361111111,0.8189236111111112,104.0,pm10,Moderate,#ff7e00
2023-02-01,109.79988636363636,186.57117424242423,2.855119047619048,23.101388888888888,0.8571376811594204,266.0,pm25,Poor,#ff0000
2023-02-02,51.797291666666666,105.80447916666668,11.862951388888888,73.40479166666667,0.6703819444444444,105.0,pm10,Moderate,#ff7e00
2023-02-03,53.32365942028986,127.62471014492752,27.187430555555554,25.2521875,0.4983333333333333,119.0,pm10,Moderate,#ff7e00
2023-02-04,24.64649305555556,49.34611111111111,17.703055555555554,40.96791666666667,0.4874652777777777,49.0,pm10,Good,#00e400
2023-02-05,35.61545454545455,57.852916666666665,8.730034722222223,39.356631944444445,0.5866666666666667,60.0,pm25,Satisfactory,#ffff00
2023-02-06,39.15708333333333,78.56052083333333,13.184097222222222,77.89611111111111,0.5315625,79.0,pm10,Satisfactory,#ffff00
2023-02-07,16.582916666666666,43.53239583333334,10.134027777777778,62.9984375,0.4012152777777777,64.0,o3,Satisfactory,#ffff00
2023-02-08,6.79094696969697,14.213484848484848,10.005144927536232,52.04152173913043,0.3419927536231884,53.0,o3,Satisfactory,#ffff00
2023-02-09,44.31152173913044,78.43949275362318,14.214791666666663,18.12704861111111,0.6311458333333334,79.0,pm10,Satisfactory,#ffff00
2023-02-10,12.736666666666666,26.89927536231884,8.868229166666667,13.529239130434783,0.4161458333333334,27.0,pm10,Good,#00e400
2023-02-11,51.72772727272727,95.5135606060606,,29.680208333333336,0.7999999999999999,96.0,pm10,Satisfactory,#ffff00
2023-02-12,42.17777777777778,121.07822916666667,19.653472222222224,46.515972222222224,0.9453472222222222,115.0,pm10,Moderate,#ff7e00
2023-03-01,121.87607638888888,203.51850694444445,0.6624561403508772,17.9459375,0.9328819444444444,302.0,pm25,Very Poor,#8f3f97
2023-03-02,79.14130952380953,148.28055555555557,13.33482638888889,69.79732638888889,1.0805902777777778,164.0,pm25,Moderate,#ff7e00
2023-03-03,68.51822463768117,197.45384057971012,36.87354166666666,22.611527777777777,0.4527083333333333,165.0,pm10,Moderate,#ff7e00
2023-03-04,24.6790625,63.00177083333333,20.11621527777778,50.39600694444445,0.4997222222222222,64.0,pm10,Satisfactory,#ffff00
2023-03-05,30.91927083333333,50.13159722222222,7.099270833333333,27.577361111111117,0.5636111111111112,53.0,pm25,Satisfactory,#ffff00
2023-03-06,38.66246527777778,80.57625,13.178229166666666,79.26694444444445,0.5219791666666667,81.0,pm10,Satisfactory,#ffff00
2023-03-07,17.872291666666666,40.26545138888889,10.263576388888888,61.08555555555555,0.3965277777777778,62.0,o3,Satisfactory,#ffff00
2023-03-08,17.028472222222224,38.17104166666667,10.510486111111112,51.898784722222224,0.3983333333333334,53.0,o3,Satisfactory,#ffff00
2023-03-09,24.182256944444443,52.80291666666667,9.481597222222222,16.4725,0.5845833333333333,54.0,pm10,Satisfactory,#ffff00
2023-03-10,8.93732638888889,18.968125,8.837083333333334,12.23298611111111,0.4048958333333333,20.0,co,Good,#00e400
2023-03-11,67.06489583333334,122.47270833333332,,14.799965277777778,0.9266666666666666,124.0,pm25,Moderate,#ff7e00
2023-03-12,67.72913194444445,161.80631944444443,19.7771875,55.06902777777778,1.1094444444444445,142.0,pm10,Moderate,#ff7e00
2023-04-01,98.02673611111112,163.99211805555555,0.4171052631578947,22.22701388888889,0.7431944444444444,227.0,pm25,Poor,#ff0000
2023-04-02,99.33864583333332,222.42489583333332,22.588402777777777,67.48163194444444,1.4712500000000002,232.0,pm25,Poor,#ff0000
2023-04-03,64.10166666666667,174.9399652777778,35.285381944444445,27.671215277777776,0.5975347222222221,150.0,pm10,Moderate,#ff7e00
2023-04-04,22.81163043478261,63.970326086956526,15.468804347826088,28.332708333333333,0.4421875,65.0,pm10,Satisfactory,#ffff00
2023-04-05,24.728863636363634,41.608939393939394,8.178298611111112,19.908993055555555,0.434927536231884,42.0,pm10,Good,#00e400
2023-04-06,36.95135416666667,72.12395833333333,12.832881944444445,80.44562499999999,0.4778819444444444,81.0,o3,Satisfactory,#ffff00
2023-04-07,13.21715909090909,31.52223484848485,11.70079861111111,51.04565217391304,0.324963768115942,52.0,o3,Satisfactory,#ffff00
2023-04-08,18.961666666666662,50.70552083333334,10.889548611111111,51.27166666666667,0.4003125,52.0,pm10,Satisfactory,#ffff00
2023-04-09,13.11003623188406,32.18105072463768,6.077708333333334,16.448840579710144,0.5250347222222222,32.0,pm10,Good,#00e400
2023-04-10,10.101340579710143,23.71706521739131,10.649464285714286,13.05445652173913,0.4539855072463768,24.0,pm10,Good,#00e400
2023-04-11,45.17670289855072,84.42170289855073,,18.62438405797101,0.6641319444444445,85.0,pm10,Satisfactory,#ffff00
2023-04-12,57.17378472222222,144.20729166666666,19.82732638888889,36.67041666666667,1.2123958333333331,130.0,pm10,Moderate,#ff7e00
2023-05-01,111.44888888888887,195.2107142857143,1.250719696969697,20.275625,0.8267013888888889,272.0,pm25,Poor,#ff0000
2023-05-02,78.57590277777778,167.59381944444445,22.05909722222222,69.08034722222222,0.995173611111111,162.0,pm25,Moderate,#ff7e00
2023-05-03,60.91302083333333,157.72711805555556,32.85239583333333,24.33982638888889,0.4393402777777777,139.0,pm10,Moderate,#ff7e00
2023-05-04,26.633229166666663,74.06145833333333,18.41375,31.48770833333333,0.6413194444444444,75.0,pm10,Satisfactory,#ffff00
2023-05-05,24.329756944444444,41.60944444444444,9.617881944444443,35.37065972222222,0.465,42.0,pm10,Good,#00e400
2023-05-06,41.354642857142856,71.7475,13.185833333333331,66.91072463768116,0.5072569444444445,72.0,pm10,Satisfactory,#ffff00
2023-05-07,6.391006944444444,22.105763888888887,9.531215277777775,43.56809027777778,0.3561111111111111,44.0,o3,Good,#00e400
2023-05-08,19.9815625,50.91322916666667,10.600451388888889,44.989375,0.409861111111111,52.0,pm10,Satisfactory,#ffff00
2023-05-09,12.753263888888888,19.487256944444443,5.735539215686274,20.80149305555556,0.4323611111111111,22.0,co,Good,#00e400
2023-05-10,26.233090277777777,64.58899305555555,11.016488095238094,12.08232638888889,0.6224305555555555,65.0,pm10,Satisfactory,#ffff00
2023-05-11,60.636944444444445,112.55354166666666,,15.488541666666668,0.8132638888888889,109.0,pm10,Moderate,#ff7e00
2023-05-12,44.72989583333333,109.95378472222222,19.86357638888889,25.85881944444445,0.8834722222222222,108.0,pm10,Moderate,#ff7e00
2023-06-01,104.7290625,188.37277777777777,1.8807916666666664,22.14125,0.6718402777777778,250.0,pm25,Poor,#ff0000
2023-06-02,86.49045454545454,201.74719696969697,28.904722222222222,64.56388888888888,1.2251736111111111,188.0,pm25,Moderate,#ff7e00
2023-06-03,57.45305555555556,150.34135416666666,31.92211805555556,27.086875000000003,0.4345138888888888,134.0,pm10,Moderate,#ff7e00
2023-06-04,49.879705882352944,123.15804347826086,24.94288194444444,47.63920138888889,0.6879166666666667,116.0,pm10,Moderate,#ff7e00
2023-06-05,45.25767361111111,61.43732638888889,25.32532608695652,49.4284375,0.5287499999999999,76.0,pm25,Satisfactory,#ffff00
2023-06-06,40.28541666666667,81.49249999999999,13.3196875,72.47590277777778,0.5324305555555556,82.0,pm10,Satisfactory,#ffff00
2023-06-07,5.692673611111111,23.123194444444447,9.808958333333331,48.90065972222222,0.3911458333333333,49.0,o3,Good,#00e400
2023-06-08,20.08368055555556,46.87625,11.253298611111113,44.279270833333335,0.4177083333333333,47.0,pm10,Good,#00e400
2023-06-09,7.082222222222222,17.755277777777778,1.5360526315789476,16.11764492753623,0.3746875,19.0,co,Good,#00e400
2023-06-10,27.773369565217397,68.33057971014492,11.116736111111113,12.814965277777778,0.635,69.0,pm10,Satisfactory,#ffff00
2023-06-11,43.90694444444444,102.32659722222222,,17.084756944444447,0.7033333333333333,103.0,pm10,Moderate,#ff7e00
2023-06-12,30.769340277777776,91.61194444444445,19.813715277777774,29.9421875,0.7825000000000001,92.0,pm10,Satisfactory,#ffff00
2023-07-01,130.05777777777777,224.54003472222223,0.8653260869565217,24.24375,0.862361111111111,309.0,pm25,Very Poor,#8f3f97
2023-07-02,63.9371875,138.7178125,31.24486111111111,46.646557971014495,0.8854861111111111,127.0,pm10,Moderate,#ff7e00
2023-07-03,54.372326388888894,120.55104166666666,26.575,23.131805555555555,0.5317708333333333,115.0,pm10,Moderate,#ff7e00
2023-07-04,107.3025,114.37996376811594,19.9759375,47.238576388888895,0.6187152777777778,258.0,pm25,Poor,#ff0000
2023-07-05,40.61364583333333,60.08118055555556,11.333402777777778,63.855,0.5200694444444444,68.0,pm25,Satisfactory,#ffff00
2023-07-06,40.88806818181818,79.33789855072463,13.690144927536233,70.11475694444444,0.588125,80.0,pm10,Satisfactory,#ffff00
2023-07-07,9.34034090909091,31.702045454545456,9.679772727272727,84.37454545454545,0.3676388888888889,85.0,o3,Satisfactory,#ffff00
2023-07-08,18.589166666666667,44.86958333333333,10.1275,46.41861111111111,0.5284027777777778,46.0,o3,Good,#00e400
2023-07-09,5.115763888888888,13.9625,2.059094202898551,16.054930555555554,0.4062083333333333,20.0,co,Good,#00e400
2023-07-10,32.31472222222222,81.18454861111111,11.239097222222222,15.28625,0.6156944444444444,82.0,pm10,Satisfactory,#ffff00
2023-07-11,62.75125,145.5954166666667,,16.177777777777777,0.8728472222222222,131.0,pm10,Moderate,#ff7e00
2023-07-12,15.948611111111113,40.41961805555555,19.6603125,26.062604166666663,0.7108680555555557,40.0,pm10,Good,#00e400
2023-08-01,136.34121527777776,228.6420486111111,0.9523913043478262,29.18111111111111,0.8934027777777778,313.0,pm25,Very Poor,#8f3f97
2023-08-02,47.369062500000005,97.2179861111111,27.639756944444446,24.795868055555555,0.7372569444444445,97.0,pm10,Satisfactory,#ffff00
2023-08-03,52.69059027777778,125.25538194444444,22.68482638888889,29.436631944444443,0.5259027777777777,118.0,pm10,Moderate,#ff7e00
2023-08-04,76.07898809523809,136.88246527777778,16.163368055555555,48.82361111111111,0.5739930555555556,154.0,pm25,Moderate,#ff7e00
2023-08-05,46.99386363636364,72.21484848484849,8.976893939393939,60.90159722222222,0.5430902777777779,79.0,pm25,Satisfactory,#ffff00
2023-08-06,36.66,71.95555555555556,12.991423611111111,62.83697916666667,0.5077083333333333,73.0,pm10,Satisfactory,#ffff00
2023-08-07,11.2321875,36.40552083333333,9.66357638888889,83.0826388888889,0.3580208333333333,83.0,o3,Satisfactory,#ffff00
2023-08-08,26.868697916666665,58.704166666666666,9.873958333333334,45.0896875,0.5266666666666666,60.0,pm10,Satisfactory,#ffff00
2023-08-09,12.147681159420287,28.58478260869565,9.505104166666667,16.73434027777778,0.4155555555555555,29.0,pm10,Good,#00e400
2023-08-10,34.032777777777774,91.91791666666668,11.181458333333332,13.461770833333333,0.6704861111111112,92.0,pm10,Satisfactory,#ffff00
2023-08-11,82.79271739130435,157.95884057971014,8.974305555555555,38.141354166666666,0.9508680555555556,176.0,pm25,Moderate,#ff7e00
2023-08-12,17.863368055555554,53.24847222222223,19.790104166666666,19.981041666666663,0.8714236111111111,54.0,pm10,Satisfactory,#ffff00
2023-09-01,124.85319444444444,212.0607986111111,1.7334523809523812,23.479756944444446,0.9744097222222222,305.0,pm25,Very Poor,#8f3f97
2023-09-02,64.19871527777778,139.60975694444446,28.660486111111112,26.587604166666665,0.8608680555555556,127.0,pm10,Moderate,#ff7e00
2023-09-03,53.32981884057971,138.31253623188405,30.30364583333333,25.40149305555556,0.5667708333333333,126.0,pm10,Moderate,#ff7e00
2023-09-04,26.9603125,131.74510416666666,22.57715277777778,48.55465277777778,0.715,122.0,pm10,Moderate,#ff7e00
2023-09-05,57.05336805555555,80.64687500000001,13.060434782608697,52.70482638888888,0.5853819444444445,95.0,pm25,Satisfactory,#ffff00
2023-09-06,24.96239583333333,50.725208333333335,12.589305555555557,72.89013888888888,0.4803819444444444,73.0,o3,Satisfactory,#ffff00
2023-09-07,18.373229166666665,54.06354166666667,11.046180555555557,51.06590277777778,0.3973263888888889,55.0,pm10,Satisfactory,#ffff00
2023-09-08,40.37951388888889,104.26375,10.90826388888889,67.55951388888889,0.6639102564102564,104.0,pm10,Moderate,#ff7e00
2023-09-09,11.606909722222222,33.82826388888889,16.565277777777776,14.066875,0.3939583333333333,34.0,pm10,Good,#00e400
2023-09-10,45.57142361111111,107.44739583333336,11.363437500000002,16.615590277777777,0.7620833333333333,106.0,pm10,Moderate,#ff7e00
2023-09-11,109.59079545454546,163.48060606060605,11.639311594202898,35.12746527777778,0.9666666666666668,266.0,pm25,Poor,#ff0000
2023-09-12,45.36020833333333,121.74684027777778,19.73371527777778,27.01659722222222,1.1893055555555556,115.0,pm10,Moderate,#ff7e00
2023-10-01,126.61958333333332,237.18215909090907,9.492936507936507,38.02368055555556,1.3760069444444445,306.0,pm25,Very Poor,#8f3f97
2023-10-02,82.11666666666667,184.1619565217391,29.61895833333333,29.25565972222222,1.2302083333333331,174.0,pm25,Moderate,#ff7e00
