date,pm25,pm10,no2,o3,co,aqi,dominant_pollutant,aqi_category,aqi_color
2023-10-03,71.85524305555556,185.4586458333333,33.04486111111111,21.503715277777776,0.4697916666666666,157.0,pm10,Moderate,#ff7e00
2023-10-04,14.314429824561405,179.4368859649123,15.929965277777775,49.24274305555556,0.7330555555555556,153.0,pm10,Moderate,#ff7e00
2023-10-05,44.74201388888889,68.68020833333334,13.45673611111111,42.314375,0.4697916666666666,75.0,pm25,Satisfactory,#ffff00
2023-10-06,26.231354166666662,50.26833333333334,12.782465277777776,55.913263888888885,0.5279513888888888,57.0,o3,Satisfactory,#ffff00
2023-10-07,19.49489583333333,61.863125,10.1265625,54.77090277777777,0.3890972222222222,63.0,pm10,Satisfactory,#ffff00
2023-10-08,54.597569444444446,103.21388888888887,14.78173611111111,76.59795138888889,0.6546875,103.0,pm10,Moderate,#ff7e00
2023-10-09,14.952743055555556,40.83694444444445,16.6753125,14.470069444444444,0.4522569444444444,41.0,pm10,Good,#00e400
2023-10-10,61.032045454545454,128.21079545454543,11.162847222222224,10.970978260869565,0.7343115942028986,120.0,pm10,Moderate,#ff7e00
2023-10-11,118.13659722222222,203.8349305555556,13.87013157894737,42.19243055555555,1.1199305555555557,294.0,pm25,Poor,#ff0000
2023-10-12,64.66072916666667,173.10256944444447,19.680451388888887,35.255381944444444,1.4343055555555555,149.0,pm10,Moderate,#ff7e00
2023-11-01,139.2126893939394,240.85041666666663,1.936284722222222,78.12815972222222,1.1178472222222222,316.0,pm25,Very Poor,#8f3f97
2023-11-02,68.76666666666667,148.99368055555556,29.813680555555557,28.81579861111111,0.7949652777777777,133.0,pm10,Moderate,#ff7e00
2023-11-03,48.79663043478261,124.68072463768117,24.328611111111112,22.232971014492755,0.4928472222222222,117.0,pm10,Moderate,#ff7e00
2023-11-04,43.053333333333335,196.61458333333331,18.424166666666668,57.11958333333334,0.7023263888888889,165.0,pm10,Moderate,#ff7e00
2023-11-05,34.52916666666666,59.1240625,13.295138888888888,34.5359375,0.4373958333333332,60.0,pm10,Satisfactory,#ffff00
2023-11-06,21.98263888888889,43.86038194444444,12.488020833333332,72.65017361111111,0.4357638888888889,73.0,o3,Satisfactory,#ffff00
2023-11-07,11.375833333333333,47.311145833333335,10.217673611111111,48.56368055555556,0.3411458333333333,49.0,o3,Good,#00e400
2023-11-08,31.0721875,69.45361111111112,14.20892361111111,91.72607638888888,0.5111458333333333,92.0,o3,Satisfactory,#ffff00
2023-11-09,14.137430555555556,36.44072916666666,16.856180555555557,14.118611111111113,0.3974652777777778,36.0,pm10,Good,#00e400
2023-11-10,66.41743055555555,142.5612152777778,11.21690972222222,9.557916666666666,0.9028819444444444,129.0,pm10,Moderate,#ff7e00
2023-11-11,102.145,176.63738636363635,19.19579545454545,57.8146875,0.8549305555555556,241.0,pm25,Poor,#ff0000
2023-11-12,55.65041666666667,151.91628472222223,19.66920138888889,36.64920138888889,1.0821527777777775,135.0,pm10,Moderate,#ff7e00
2023-12-01,110.89,206.50604166666668,1.583020833333333,70.37770833333333,1.216875,270.0,pm25,Poor,#ff0000
2023-12-02,55.677638888888886,132.47458333333333,30.37111111111111,26.678993055555555,0.7644097222222221,122.0,pm10,Moderate,#ff7e00
2023-12-03,59.52788194444444,137.2226388888889,30.1696875,21.14243055555556,0.4664583333333333,126.0,pm10,Moderate,#ff7e00
2023-12-04,77.64105072463768,192.8482246376812,28.12357638888889,56.15045138888889,0.8417708333333334,162.0,pm10,Moderate,#ff7e00
2023-12-05,28.13985507246377,45.8019927536232,12.872753623188403,27.925520833333334,0.4113194444444444,47.0,pm25,Good,#00e400
2023-12-06,24.91965277777778,49.13559027777777,12.879236111111112,58.85642361111112,0.5417361111111111,60.0,o3,Satisfactory,#ffff00
2023-12-07,8.28625,42.816875,10.018159722222222,47.77329861111111,0.3669791666666666,48.0,o3,Good,#00e400
2023-12-08,26.867326388888888,61.09357638888889,11.178958333333334,43.67885416666667,0.5114930555555556,62.0,pm10,Satisfactory,#ffff00
2023-12-09,10.378263888888888,32.629201388888895,17.07701388888889,15.307638888888889,0.4403070175438596,33.0,pm10,Good,#00e400
2023-12-10,62.30072916666666,127.44902777777776,11.448611111111113,21.374375,0.8854861111111111,119.0,pm10,Moderate,#ff7e00
2023-12-11,84.32600694444444,191.75486111111115,19.495972222222225,45.09107638888889,0.7993402777777777,181.0,pm25,Moderate,#ff7e00
2023-12-12,66.29229166666667,179.16437499999998,19.674027777777777,37.99420138888889,1.278541666666667,153.0,pm10,Moderate,#ff7e00
2024-01-01,55.83,138.86,17.8,26.58,1.25,127.0,pm10,Moderate,#ff7e00
2024-01-02,58.75,110.93,17.23,2.93,0.91,108.0,pm10,Moderate,#ff7e00
2024-01-03,47.6,129.6,16.91,30.41,0.92,121.0,pm10,Moderate,#ff7e00
2024-01-04,39.72,94.71,16.44,53.51,0.76,95.0,pm10,Satisfactory,#ffff00
2024-01-05,26.8,95.62,28.51,69.91,0.64,96.0,pm10,Satisfactory,#ffff00
2024-01-06,12.12,50.46,38.86,66.68,0.46,67.0,o3,Satisfactory,#ffff00
2024-01-07,16.19,49.17,16.37,7.08,0.65,49.0,pm10,Good,#00e400
2024-01-08,15.07,33.47,32.73,31.57,0.66,41.0,no2,Good,#00e400
2024-01-09,8.22,33.08,37.01,25.23,0.33,46.0,no2,Good,#00e400
2024-01-10,38.32,81.56,18.64,24.51,0.59,82.0,pm10,Satisfactory,#ffff00
2024-01-11,59.53,136.64,14.72,185.19,1.05,244.0,o3,Poor,#ff0000
2024-01-12,29.31,86.79,19.53,29.2,0.71,87.0,pm10,Satisfactory,#ffff00
2024-02-01,68.36,137.21,17.68,27.0,0.95,129.0,pm25,Moderate,#ff7e00
2024-02-02,67.7,124.78,17.33,13.86,0.91,126.0,pm25,Moderate,#ff7e00
2024-02-03,57.75,132.67,16.98,26.38,0.98,123.0,pm10,Moderate,#ff7e00
2024-02-04,42.14,99.47,16.05,56.76,0.72,99.0,pm10,Satisfactory,#ffff00
2024-02-05,23.53,75.81,25.04,48.9,0.67,76.0,pm10,Satisfactory,#ffff00
2024-02-06,14.38,57.18,38.76,95.57,0.5,96.0,o3,Satisfactory,#ffff00
2024-02-07,13.64,36.83,16.61,5.8,0.66,37.0,pm10,Good,#00e400
2024-02-08,13.05,30.79,33.93,35.95,0.56,42.0,no2,Good,#00e400
2024-02-09,7.34,34.07,40.28,25.36,0.36,51.0,no2,Satisfactory,#ffff00
2024-02-10,35.93,81.69,19.22,17.36,0.54,82.0,pm10,Satisfactory,#ffff00
2024-02-11,109.95,267.49,23.27,85.09,1.37,267.0,pm25,Poor,#ff0000
2024-02-12,56.24,129.51,20.56,34.52,0.77,120.0,pm10,Moderate,#ff7e00
2024-03-01,72.18,131.04,17.83,31.43,1.0,141.0,pm25,Moderate,#ff7e00
2024-03-02,53.51,144.4,17.18,22.06,0.95,130.0,pm10,Moderate,#ff7e00
2024-03-03,62.6,159.24,16.96,3.23,0.87,140.0,pm10,Moderate,#ff7e00
2024-03-04,34.56,87.47,16.49,46.24,0.64,88.0,pm10,Satisfactory,#ffff00
2024-03-05,23.88,79.49,18.58,59.22,0.58,80.0,pm10,Satisfactory,#ffff00
2024-03-06,15.24,56.0,39.96,101.45,0.56,103.0,o3,Moderate,#ff7e00
2024-03-07,12.73,35.78,13.4,5.2,0.61,36.0,pm10,Good,#00e400
2024-03-08,10.79,22.78,32.75,33.26,0.51,41.0,no2,Good,#00e400
2024-03-09,13.55,40.36,50.19,29.68,0.38,63.0,no2,Satisfactory,#ffff00
2024-03-10,42.66,94.12,17.12,21.2,0.55,94.0,pm10,Satisfactory,#ffff00
2024-03-11,57.31,142.03,15.05,94.13,1.14,129.0,pm10,Moderate,#ff7e00
2024-03-12,89.11,173.34,23.47,36.61,0.91,197.0,pm25,Moderate,#ff7e00
2024-04-01,85.17,155.97,17.68,28.49,1.19,184.0,pm25,Moderate,#ff7e00
2024-04-02,60.38,147.65,17.14,24.43,0.93,132.0,pm10,Moderate,#ff7e00
2024-04-03,52.79,94.7,17.19,25.7,0.72,95.0,pm10,Satisfactory,#ffff00
2024-04-04,38.22,72.77,10.33,29.73,0.64,73.0,pm10,Satisfactory,#ffff00
2024-04-05,20.76,62.68,18.62,93.58,0.53,94.0,o3,Satisfactory,#ffff00
2024-04-06,14.04,54.74,39.98,84.03,0.56,84.0,o3,Satisfactory,#ffff00
2024-04-07,13.47,44.32,16.77,7.35,0.68,44.0,pm10,Good,#00e400
2024-04-08,12.74,31.79,31.67,24.45,0.52,40.0,no2,Good,#00e400
2024-04-09,19.85,53.44,54.29,28.31,0.46,69.0,no2,Satisfactory,#ffff00
2024-04-10,33.93,79.67,16.05,21.0,0.56,80.0,pm10,Satisfactory,#ffff00
2024-04-11,64.28,125.96,14.93,44.32,0.95,118.0,pm10,Moderate,#ff7e00
2024-04-12,119.93,220.75,24.93,43.97,1.1,300.0,pm25,Poor,#ff0000
2024-05-01,110.35,168.65,17.72,31.14,1.46,268.0,pm25,Poor,#ff0000
2024-05-02,78.14,192.12,17.15,0.85,1.14,162.0,pm10,Moderate,#ff7e00
2024-05-03,43.6,96.34,17.17,18.51,0.76,96.0,pm10,Satisfactory,#ffff00
2024-05-04,29.12,77.01,8.78,44.94,0.67,77.0,pm10,Satisfactory,#ffff00
2024-05-05,13.43,60.29,18.63,87.64,0.51,88.0,o3,Satisfactory,#ffff00
2024-05-06,17.68,62.13,40.3,76.16,0.62,77.0,o3,Satisfactory,#ffff00
2024-05-07,14.91,45.87,17.68,8.44,0.54,46.0,pm10,Good,#00e400
2024-05-08,17.67,38.88,30.27,29.83,0.56,39.0,pm10,Good,#00e400
2024-05-09,14.6,39.04,55.23,38.15,0.48,70.0,no2,Satisfactory,#ffff00
2024-05-10,19.09,56.41,15.11,19.65,0.54,57.0,pm10,Satisfactory,#ffff00
2024-05-11,54.7,111.79,15.03,45.06,0.73,109.0,pm10,Moderate,#ff7e00
2024-05-12,115.76,246.81,31.39,38.7,1.3,286.0,pm25,Poor,#ff0000
2024-06-01,93.38,156.06,17.71,30.58,1.16,212.0,pm25,Poor,#ff0000
2024-06-02,,,,,,,,Unknown,#cccccc
2024-06-03,39.66,106.17,16.84,29.21,0.8,105.0,pm10,Moderate,#ff7e00
2024-06-04,31.8,80.88,14.53,48.81,0.64,81.0,pm10,Satisfactory,#ffff00
2024-06-05,17.09,48.07,18.59,57.83,0.47,59.0,o3,Satisfactory,#ffff00
2024-06-06,32.94,77.3,32.63,72.43,0.67,78.0,pm10,Satisfactory,#ffff00
2024-06-07,14.98,44.28,21.19,6.1,0.51,44.0,pm10,Good,#00e400
2024-06-08,19.51,44.95,28.01,21.05,0.6,45.0,pm10,Good,#00e400
2024-06-09,12.32,37.22,53.83,47.42,0.57,68.0,no2,Satisfactory,#ffff00
2024-06-10,4.71,60.41,16.62,19.52,0.55,61.0,pm10,Satisfactory,#ffff00
2024-06-11,37.5,87.18,15.05,42.49,0.69,87.0,pm10,Satisfactory,#ffff00
2024-06-12,75.02,165.53,29.62,36.49,0.89,151.0,pm25,Moderate,#ff7e00
2024-07-01,74.18,157.16,17.77,31.08,1.09,148.0,pm25,Moderate,#ff7e00
2024-07-02,57.76,108.44,17.07,32.91,0.74,107.0,pm10,Moderate,#ff7e00
2024-07-03,62.97,132.44,16.73,21.05,0.93,122.0,pm10,Moderate,#ff7e00
2024-07-04,29.12,72.91,17.18,32.84,0.76,73.0,pm10,Satisfactory,#ffff00
2024-07-05,16.41,35.58,18.57,17.39,0.56,36.0,pm10,Good,#00e400
2024-07-06,33.79,73.73,14.2,35.57,0.64,74.0,pm10,Satisfactory,#ffff00
2024-07-07,8.9,25.64,27.11,5.21,0.48,34.0,no2,Good,#00e400
2024-07-08,9.98,28.16,22.83,26.48,0.48,29.0,no2,Good,#00e400
2024-07-09,18.63,39.34,54.13,123.11,0.59,135.0,o3,Moderate,#ff7e00
2024-07-10,10.31,41.75,12.69,18.29,0.42,42.0,pm10,Good,#00e400
2024-07-11,43.67,104.59,15.09,42.28,0.69,104.0,pm10,Moderate,#ff7e00
2024-07-12,58.72,150.35,30.51,47.66,0.9,134.0,pm10,Moderate,#ff7e00
2024-08-01,95.36,172.91,17.87,32.02,1.0,219.0,pm25,Poor,#ff0000
2024-08-02,53.81,115.72,16.8,35.41,0.83,111.0,pm10,Moderate,#ff7e00
2024-08-03,59.62,120.25,,19.6,0.91,114.0,pm10,Moderate,#ff7e00
2024-08-04,28.04,70.87,16.49,29.34,0.71,71.0,pm10,Satisfactory,#ffff00
2024-08-05,9.73,27.95,18.61,11.92,0.48,28.0,pm10,Good,#00e400
2024-08-06,23.08,72.67,15.83,27.72,0.59,73.0,pm10,Satisfactory,#ffff00
2024-08-07,8.48,24.94,33.19,4.55,0.48,41.0,no2,Good,#00e400
2024-08-08,10.15,29.26,22.98,24.21,0.46,29.0,pm10,Good,#00e400
2024-08-09,10.67,27.03,53.93,155.6,0.56,182.0,o3,Moderate,#ff7e00
2024-08-10,16.39,48.45,7.15,21.43,0.67,48.0,pm10,Good,#00e400
2024-08-11,42.65,71.24,14.47,35.94,0.64,72.0,pm25,Satisfactory,#ffff00
2024-08-12,63.25,169.22,34.7,52.59,0.92,147.0,pm10,Moderate,#ff7e00
2024-09-01,86.67,150.89,17.74,32.43,1.14,189.0,pm25,Moderate,#ff7e00
2024-09-02,49.62,100.65,16.89,36.77,0.75,101.0,pm10,Moderate,#ff7e00
2024-09-03,58.98,136.78,,16.28,1.05,125.0,pm10,Moderate,#ff7e00
2024-09-04,40.97,91.7,14.33,39.0,0.96,92.0,pm10,Satisfactory,#ffff00
2024-09-05,10.66,30.57,18.69,18.34,0.54,31.0,pm10,Good,#00e400
2024-09-06,22.3,59.79,18.54,23.62,0.56,61.0,pm10,Satisfactory,#ffff00
2024-09-07,12.27,32.85,36.54,4.97,0.46,46.0,no2,Good,#00e400
2024-09-08,17.53,40.46,10.35,25.31,0.48,40.0,pm10,Good,#00e400
2024-09-09,6.78,21.19,54.48,42.59,0.51,69.0,no2,Satisfactory,#ffff00
2024-09-10,18.26,37.83,7.15,17.07,0.58,38.0,pm10,Good,#00e400
2024-09-11,30.31,64.29,14.32,38.88,0.59,65.0,pm10,Satisfactory,#ffff00
2024-09-12,86.55,173.01,29.43,54.8,0.91,189.0,pm25,Moderate,#ff7e00
2024-10-01,101.1,218.16,17.73,27.98,1.84,238.0,pm25,Poor,#ff0000
2024-10-02,59.15,117.28,18.04,29.76,0.85,112.0,pm10,Moderate,#ff7e00
2024-10-03,48.92,125.88,,18.79,0.89,118.0,pm10,Moderate,#ff7e00
2024-10-04,58.35,125.23,2.99,43.15,1.05,118.0,pm10,Moderate,#ff7e00
2024-10-05,12.36,39.21,18.59,10.58,0.61,39.0,pm10,Good,#00e400
2024-10-06,22.36,59.28,10.77,44.92,0.57,60.0,pm10,Satisfactory,#ffff00
2024-10-07,13.48,36.75,42.77,6.15,0.5,54.0,no2,Satisfactory,#ffff00
2024-10-08,24.19,49.71,8.4,19.08,,50.0,pm10,Good,#00e400
2024-10-09,9.56,26.52,61.12,61.8,0.52,77.0,no2,Satisfactory,#ffff00
2024-10-10,10.79,31.82,7.19,17.16,0.56,32.0,pm10,Good,#00e400
2024-10-11,28.86,70.71,14.37,34.89,0.63,71.0,pm10,Satisfactory,#ffff00
2024-10-12,85.06,141.45,26.63,39.8,0.84,184.0,pm25,Moderate,#ff7e00
2024-11-01,81.27,171.23,17.72,32.79,1.34,171.0,pm25,Moderate,#ff7e00
2024-11-02,81.87,198.09,18.2,23.03,1.2,173.0,pm25,Moderate,#ff7e00
2024-11-03,48.82,109.69,,20.5,0.8,107.0,pm10,Moderate,#ff7e00
2024-11-04,62.18,138.56,53.88,31.48,1.32,126.0,pm10,Moderate,#ff7e00
2024-11-05,14.75,36.84,18.5,18.91,0.51,37.0,pm10,Good,#00e400
2024-11-06,15.68,42.97,11.23,38.86,0.5,43.0,pm10,Good,#00e400
2024-11-07,17.05,51.4,45.41,8.08,0.53,58.0,no2,Satisfactory,#ffff00
2024-11-08,26.86,53.75,14.77,20.52,0.62,55.0,pm10,Satisfactory,#ffff00
2024-11-09,15.73,37.5,64.21,94.08,0.61,94.0,o3,Satisfactory,#ffff00
2024-11-10,10.84,29.59,7.16,18.56,0.55,30.0,pm10,Good,#00e400
2024-11-11,33.86,77.97,16.27,33.9,0.63,78.0,pm10,Satisfactory,#ffff00
2024-11-12,68.48,152.07,29.95,33.72,0.83,135.0,pm10,Moderate,#ff7e00
2024-12-01,82.23,141.46,17.59,39.88,1.0,174.0,pm25,Moderate,#ff7e00
2024-12-02,105.14,233.18,18.04,18.64,1.59,251.0,pm25,Poor,#ff0000
2024-12-03,50.48,108.19,,27.31,0.68,106.0,pm10,Moderate,#ff7e00
2024-12-04,36.36,96.46,26.75,48.46,0.85,97.0,pm10,Satisfactory,#ffff00
2024-12-05,20.05,41.19,18.6,31.52,0.58,41.0,pm10,Good,#00e400
2024-12-06,21.5,53.26,13.52,50.54,0.52,54.0,pm10,Satisfactory,#ffff00
2024-12-07,14.59,41.22,42.57,6.98,0.61,54.0,no2,Satisfactory,#ffff00
2024-12-08,25.34,58.0,15.28,21.88,0.51,59.0,pm10,Satisfactory,#ffff00
2024-12-09,27.55,70.07,61.46,,0.7,77.0,no2,Satisfactory,#ffff00
2024-12-10,12.06,32.43,7.22,18.33,0.57,32.0,pm10,Good,#00e400
2024-12-11,42.89,94.36,18.64,36.33,0.62,94.0,pm10,Satisfactory,#ffff00
2024-12-12,62.22,148.97,27.74,47.77,0.77,133.0,pm10,Moderate,#ff7e00
